HomeTeam,AwayTeam,Home,Draw,Away,HomeDecimal,DrawDecimal,AwayDecimal,B365H,B365D,B365A,bet,Proba,Kelly,betDatePortion,Date,runningMoney,BetAmount,refill,withdraw
Corinthians,Boca Juniors,155,180,220,2.55,2.8,3.2,2.55,2.8,3.2,H,0.48342149321519956,0.1501450372250057,0.01178742504023754,2022-06-28,10,0.1178742504023754,0,0
Gimnasia LP,CSD Flandria,-200,300,650,1.5,4.0,7.5,1.5,4.0,7.5,H,0.7078620866055667,0.12358625981670013,0.011478486121799587,2022-06-28,10,0.11478486121799587,0,0
Grange Thistle,Souths United,137,260,140,2.37,3.6,2.4,2.37,3.6,2.4,A,0.45783455589325706,0.07057352438844065,0.010885828174903616,2022-06-28,10,0.10885828174903617,0,0
Adelaide Olympic,Adelaide United NPL,-138,300,275,1.7246376811594204,4.0,3.75,1.7246376811594204,4.0,3.75,H,0.7031244087719258,0.2934360928771835,0.013603462342288306,2022-06-28,10,0.13603462342288306,0,0
Brusque,Bahia,200,175,187,3.0,2.75,2.87,3.0,2.75,2.87,H,0.48756185239467215,0.2313427785920082,0.012784468427428681,2022-06-28,10,0.1278446842742868,0,0
Cruzeiro,Sport Recife,-150,220,600,1.6666666666666663,3.2,7.0,1.6666666666666663,3.2,7.0,H,0.7217837283494045,0.3044593208735111,0.013754245943407361,2022-06-28,10,0.13754245943407362,0,0
Guarani SP,Ituano,140,187,240,2.4,2.87,3.4,2.4,2.87,3.4,D,0.3566253722286441,0.012574769142357542,0.010272423971685834,2022-06-28,10,0.10272423971685833,0,0
Barbalha,Cariri,125,175,225,2.25,2.75,3.25,2.25,2.75,3.25,H,0.4632157551955965,0.033788359352073624,0.010492666775227772,2022-06-28,10,0.10492666775227771,0,0
Atletico Mineiro U20,EC Futgol U20,-800,650,1200,1.125,7.5,13.0,1.125,7.5,13.0,H,0.8908545771576918,0.017691194419226064,0.01032511674572138,2022-06-28,10,0.1032511674572138,0,0
Hercilio Luz U20,Brusque U20,137,250,145,2.37,3.5,2.45,2.37,3.5,2.45,A,0.47903333836671086,0.11974598551616673,0.011434490118966512,2022-06-28,10,0.11434490118966512,0,0
Andraus Brasil U20,Rio Branco PR U20,-300,400,500,1.3333333333333333,5.0,6.0,1.3333333333333333,5.0,6.0,H,0.7671333231772447,0.06853329270897864,0.010863641204380254,2022-06-28,10,0.10863641204380255,0,0
Botafogo SP U20,AA Francana U20,-800,750,1200,1.125,8.5,13.0,1.125,8.5,13.0,H,0.8924023976023976,0.03162157842157831,0.010469956078387025,2022-06-28,10,0.10469956078387024,0,0
Ferroviaria U20,Noroeste U20,-134,280,260,1.7462686567164178,3.8,3.6,1.7462686567164178,3.8,3.6,H,0.594262923069942,0.05057523998366424,0.010670292640773207,2022-06-28,10,0.10670292640773207,0,0
