HomeTeam,AwayTeam,Home,Draw,Away,HomeDecimal,DrawDecimal,AwayDecimal
Emelec,Atletico Mineiro,+425,+250,-134,5.25,3.5,1.7462686567164178
Athletico Paranaense,Libertad Asuncion,-120,+230,+375,1.8333333333333335,3.3,4.75
Corinthians,Boca Juniors,+155,+180,+220,2.55,2.8,3.2
Nacional De Football,Union Santa Fe,+130,+210,+240,2.3,3.1,3.4
Colo Colo,Internacional,+110,+240,+250,2.1,3.4,3.5
CA Aldosivi,Newell's,+300,+240,+105,4.0,3.4,2.05
Gimnasia LP,CSD Flandria,-200,+300,+650,1.5,4.0,7.5
Deportivo Camioneros Reserves,CSD Flandria Reserves,-125,+240,+275,1.8,3.4,3.75
Temperley Reserves,Defensores de Belgrano Reserves,-275,+333,+550,1.3636363636363638,4.33,6.5
Lake Macquarie,Weston Workers FC,+300,+375,-188,4.0,4.75,1.5319148936170213
Maitland FC,Lambton Jaffas,+110,+250,+180,2.1,3.5,2.8
Valentine Phoenix,Newcastle Olympic FC,+200,+280,-110,3.0,3.8,1.9090909090909092
Grange Thistle,Souths United,+137,+260,+140,2.37,3.6,2.4
Adelaide Olympic,Adelaide United NPL,-138,+300,+275,1.7246376811594204,4.0,3.75
FC Tertons,BFF Academy U19,+300,+333,-175,4.0,4.33,1.5714285714285714
FC Takin,RTC FC,+125,+300,+140,2.25,4.0,2.4
Brusque,Bahia,+200,+175,+187,3.0,2.75,2.87
Gremio,Londrina,-223,+333,+650,1.4484304932735426,4.33,7.5
Cruzeiro,Sport Recife,-150,+220,+600,1.6666666666666665,3.2,7.0
Guarani SP,Ituano,+140,+187,+240,2.4,2.87,3.4
Vila Nova,Ponte Preta,+110,+180,+320,2.1,2.8,4.2
Barbalha,Cariri,+125,+175,+225,2.25,2.75,3.25
Floresta EC,Itapipoca EC,+100,+187,+275,2.0,2.87,3.75
Atletico Mineiro U20,EC Futgol U20,-800,+650,+1200,1.125,7.5,13.0
Cruzeiro U20,Minas Boca U20,-2000,+1200,+2800,1.05,13.0,29.0
Concordia AC U20,Criciuma U20,+150,+240,+140,2.5,3.4,2.4
Hercilio Luz U20,Brusque U20,+137,+250,+145,2.37,3.5,2.45
Andraus Brasil U20,Rio Branco PR U20,-300,+400,+500,1.3333333333333333,5.0,6.0
America SP U20,CA Votuporanguense U20,-138,+260,+280,1.7246376811594204,3.6,3.8
Botafogo SP U20,AA Francana U20,-800,+750,+1200,1.125,8.5,13.0
CA Penapolense U20,CA Assisense U20,-200,+333,+375,1.5,4.33,4.75
Capivariano U20,Inter Limeira U20,-200,+300,+425,1.5,4.0,5.25
Ferroviaria U20,Noroeste U20,-134,+280,+260,1.7462686567164178,3.8,3.6
GD Saocarlense U20,CA Taquaritinga SP U20,+137,+260,+145,2.37,3.6,2.45
GO Audax U20,SC Brasil U20,-800,+700,+1400,1.125,8.0,15.0
Guarani U20,Metropolitano FC U20,-1000,+800,+1200,1.1,9.0,13.0
Juventus SP U20,Nacional SP U20,-225,+320,+450,1.4444444444444444,4.2,5.5
Monte Azul U20,Inter de Bebedouro U20,+162,+190,+155,2.62,2.9,2.55
Oeste U20,Sharjah Brasil U20,-223,+280,+500,1.4484304932735426,3.8,6.0
Palmeiras U20,Uniao Mogi U20,-2500,+1100,+2700,1.04,12.0,28.0
Ponte Preta SP U20,CA Guacuano U20,-2500,+1400,+3300,1.04,15.0,34.0
Portuguesa Desportos U20,Paulista U20,-250,+300,+475,1.4,4.0,5.75
Sao Bento U20,SKA Brasil U20,+190,+210,+125,2.9,3.1,2.25
Sao Caetano U20,Uniao Suzano AC U20,+110,+230,+200,2.1,3.3,3.0
Sao Jose Dos Campos U20,Flamengo U20,+175,+200,+140,2.75,3.0,2.4
Tanabi U20,Gremio Novorizontino U20,+225,+275,-120,3.25,3.75,1.8333333333333335
VOCEM U20,Aracatuba U20,+4000,+2000,-4000,41.0,21.0,1.025
CDC Manicore U19,Paramazonas U19,+1100,+600,-600,12.0,7.0,1.1666666666666667
Galicia EC,Jequie BA,+125,+210,+190,2.25,3.1,2.9
Provincial Ovalle,CD Municipal Mejillones,-250,+350,+450,1.4,4.5,5.5
Shanghai Port,Shanghai Shenhua,+137,+225,+220,2.37,3.25,3.2
Meizhou Hakka,Cangzhou Mighty Lions,+105,+210,+300,2.05,3.1,4.0
Shenzhen,Tianjin Jinmen Tigers,+130,+225,+225,2.3,3.25,3.25
Changchun Yatai,Zhejiang,+120,+220,+250,2.2,3.2,3.5
Nantong Zhiyun,Qingdao Youth Island,-400,+400,+750,1.25,5.0,8.5
Zibo Cuju,Guangxi Pingguo Haliao,+230,+230,-106,3.3,3.3,1.9433962264150944
America de Quito,Buhos ULVR,-138,+220,+350,1.7246376811594204,3.2,4.5
Independiente Juniors,Club Atletico Libertad,+120,+190,+220,2.2,2.9,3.2
El Zamalek,Ceramica Cleopatra,-8000,+2200,+4000,1.0125,23.0,41.0
Pyramids FC,Enppi,-175,+260,+500,1.5714285714285714,3.6,6.0
Smouha,Al Ahly Cairo,+425,+300,-188,5.25,4.0,1.5319148936170213
JK Tammeka Tartu,JK Trans Narva,+125,+275,+150,2.25,3.75,2.5
Tallinna JK Legion,Paide Linnameeskond,+600,+600,-500,7.0,7.0,1.2
Sidama Bunna,Hadiya Hossana,+137,+170,+210,2.37,2.7,3.1
KÍ Klaksvík,NSI Runavik,-800,+800,+1100,1.125,9.0,12.0
FC Inter,HJK Helsinki,+187,+225,+120,2.87,3.25,2.2
FC Haka,KuPS Kuopio,+260,+250,-118,3.6,3.5,1.847457627118644
PK-35,HIFK,+280,+240,-125,3.8,3.4,1.8
EPS,SalPa,+200,+240,+115,3.0,3.4,2.15
VJS Vantaa,HJS Akatemia,+130,+275,+145,2.3,3.75,2.45
